Age,H->D,H->S,S->H,S->D,D->H,D->S,Total
10,2.960000,4.440000,0.000000,0.000000,0.000000,0.000000,7.400000
11,2.876590,4.314885,0.177089,0.005115,0.000000,0.000000,7.373679
12,3.035595,4.553393,0.172474,0.005259,0.000000,0.000000,7.766721
13,3.753228,5.629842,0.181913,0.006866,0.000000,0.000000,9.571850
14,5.267365,7.901047,0.224608,0.011922,0.000000,0.000000,13.404942
15,7.494605,11.241907,0.314815,0.023853,0.000000,0.000000,19.075180
16,10.111222,15.166833,0.447210,0.045903,0.000000,0.000000,25.771167
17,12.516727,18.775090,0.603104,0.076961,0.000000,0.000000,31.971881
18,12.769232,19.153848,0.748237,0.097630,0.000000,0.000000,32.768947
19,12.919931,19.379896,0.764886,0.101138,0.000000,0.000000,33.165850
20,12.981487,19.472230,0.773903,0.102965,0.000000,0.000000,33.330585
21,12.983863,19.475794,0.777835,0.103648,0.000000,0.000000,33.341141
22,12.937133,19.405700,0.778056,0.103438,0.000000,0.000000,33.224328
23,12.871035,19.306553,0.775332,0.102678,0.000000,0.000000,33.055599
24,12.795400,19.193100,0.771431,0.101686,0.000000,0.000000,32.861618
25,12.749527,19.124291,0.766717,0.100829,0.000000,0.000000,32.741364
26,12.742904,19.114356,0.763946,0.100543,0.000000,0.000000,32.721749
27,12.804692,19.207038,0.763489,0.101110,0.000000,0.000000,32.876329
28,12.944192,19.416288,0.767115,0.102850,0.000000,0.000000,33.230446
29,13.200013,19.800020,0.775381,0.106189,0.000000,0.000000,33.881602
30,13.590832,20.386249,0.790434,0.111663,0.000000,0.000000,34.879177
31,14.144919,21.217379,0.813415,0.119848,0.000000,0.000000,36.295562
32,14.880428,22.320642,0.846251,0.131488,0.000000,0.000000,38.178810
33,15.824953,23.737429,0.889855,0.147450,0.000000,0.000000,40.599687
34,16.957062,25.435594,0.945951,0.168490,0.000000,0.000000,43.507097
35,18.236149,27.354223,1.013125,0.194748,0.000000,0.000000,46.798246
36,19.650796,29.476195,1.088957,0.226433,0.000000,0.000000,50.442381
37,21.179717,31.769575,1.173001,0.263988,0.000000,0.000000,54.386281
38,22.782566,34.173849,1.263866,0.307338,0.000000,0.000000,58.527619
39,24.496026,36.744038,1.358898,0.357018,0.000000,0.000000,62.955980
40,26.336406,39.504609,1.460335,0.414647,0.000000,0.000000,67.715997
41,28.329042,42.493563,1.569396,0.482045,0.000000,0.000000,72.874046
42,30.498359,45.747538,1.687069,0.561310,0.000000,0.000000,78.494276
43,32.867708,49.301561,1.814887,0.655131,0.000000,0.000000,84.639287
44,35.421644,53.132466,1.954411,0.765890,0.000000,0.000000,91.274411
45,38.182133,57.273199,2.104589,0.896111,0.000000,0.000000,98.456032
46,41.122816,61.684224,2.266752,1.048484,0.000000,0.000000,106.122275
47,44.254631,66.381947,2.439243,1.225565,0.000000,0.000000,114.301387
48,47.586661,71.379991,2.622480,1.431198,0.000000,0.000000,123.020330
49,51.135703,76.703555,2.816986,1.670145,0.000000,0.000000,132.326388
50,54.943544,82.415317,3.023494,1.949063,0.000000,0.000000,142.331418
51,59.048101,88.572151,3.244306,2.276938,0.000000,0.000000,153.141496
52,63.474440,95.211660,3.481406,2.663936,0.000000,0.000000,164.831443
53,68.261361,102.392042,3.735962,3.122377,0.000000,0.000000,177.511742
54,73.441650,110.162474,4.009841,3.667591,0.000000,0.000000,191.281556
55,79.058987,118.588480,4.304717,4.318832,0.000000,0.000000,206.271015
56,85.139473,127.709209,4.622316,5.098841,0.000000,0.000000,222.569839
57,91.700216,137.550324,4.963771,6.034288,0.000000,0.000000,240.248600
58,98.764544,148.146816,5.329272,7.157280,0.000000,0.000000,259.397912
59,106.309201,159.463802,5.719579,8.504208,0.000000,0.000000,279.996791
60,114.308153,171.462229,6.132552,10.114475,0.000000,0.000000,302.017409
61,122.713747,184.070621,6.565568,12.032317,0.000000,0.000000,325.382254
62,131.479577,197.219365,7.014913,14.308874,0.000000,0.000000,350.022729
63,140.542291,210.813437,7.476360,17.002404,0.000000,0.000000,375.834492
64,149.871630,224.807445,7.944237,20.185629,0.000000,0.000000,402.808941
65,159.414740,239.122111,8.414050,23.949501,0.000000,0.000000,430.900402
66,169.093512,253.640268,8.880195,28.402045,0.000000,0.000000,460.016021
67,178.788417,268.182626,9.335188,33.666121,0.000000,0.000000,489.972352
68,188.363053,282.544580,9.768713,39.884874,0.000000,0.000000,520.561220
69,197.649466,296.474199,10.168592,47.228075,0.000000,0.000000,551.520332
70,206.448936,309.673404,10.519760,55.896396,0.000000,0.000000,582.538497
71,214.493607,321.740411,10.805357,66.122435,0.000000,0.000000,613.161810
72,221.479573,332.219359,11.003464,78.171362,0.000000,0.000000,642.873757
73,227.025972,340.538958,11.089696,92.345035,0.000000,0.000000,670.999662
74,230.761246,346.141869,11.031878,109.007215,0.000000,0.000000,696.942209
75,232.213729,348.320594,10.796071,128.603287,0.000000,0.000000,719.933681
76,230.841208,346.261812,10.341384,151.658159,0.000000,0.000000,739.102563
77,226.007969,339.011954,9.620530,178.792700,0.000000,0.000000,753.433152
78,217.010875,325.516312,8.576190,210.756099,0.000000,0.000000,761.859476
79,203.067320,304.600980,7.137981,248.508192,0.000000,0.000000,763.314472
80,183.239698,274.859546,5.220820,293.289797,0.000000,0.000000,756.609862
