Age,H,S,D,Total
10,10.000000,0.000000,0.000000,10.000000
11,9.988160,0.088800,0.002960,10.079920
12,9.985510,0.086500,0.005840,10.077850
13,9.981990,0.091300,0.008880,10.082170
14,9.976070,0.112900,0.012640,10.101610
15,9.966230,0.158600,0.017910,10.142740
16,9.951990,0.225900,0.025420,10.203310
17,9.933910,0.305400,0.035550,10.274860
18,9.914000,0.379000,0.048110,10.341110
19,9.900330,0.387500,0.060930,10.348760
20,9.886890,0.392100,0.073900,10.352890
21,9.873660,0.394100,0.086930,10.354690
22,9.860620,0.394200,0.099970,10.354790
23,9.847770,0.392800,0.112960,10.353530
24,9.835050,0.390800,0.125880,10.351730
25,9.822440,0.388400,0.138730,10.349570
26,9.809780,0.387000,0.151530,10.348310
27,9.797010,0.386800,0.164320,10.348130
28,9.783970,0.388700,0.177180,10.349850
29,9.770550,0.393000,0.190180,10.353730
30,9.756520,0.400800,0.203430,10.360750
31,9.741680,0.412700,0.217080,10.371460
32,9.725770,0.429700,0.231280,10.386750
33,9.708560,0.452300,0.246230,10.407090
34,9.689750,0.481400,0.262130,10.433280
35,9.669220,0.516300,0.279170,10.464690
36,9.646930,0.555800,0.297500,10.500230
37,9.622770,0.599700,0.317260,10.539730
38,9.596700,0.647300,0.338570,10.582570
39,9.568760,0.697300,0.361510,10.627570
40,9.538720,0.750900,0.386180,10.675800
41,9.506390,0.808800,0.412720,10.727910
42,9.471540,0.871600,0.441290,10.784430
43,9.433900,0.940200,0.472070,10.846170
44,9.393170,1.015500,0.505270,10.913940
45,9.349200,1.097100,0.541070,10.987370
46,9.301700,1.185800,0.579700,11.067200
47,9.250550,1.280900,0.621350,11.152800
48,9.195490,1.382800,0.666220,11.244510
49,9.136270,1.492000,0.714520,11.342790
50,9.072580,1.609200,0.766490,11.448270
51,9.003980,1.736000,0.822410,11.562390
52,8.930000,1.873900,0.882600,11.686500
53,8.850170,2.024100,0.947410,11.821680
54,8.763920,2.188300,1.017230,11.969450
55,8.670650,2.368300,1.092510,12.131460
56,8.569650,2.566100,1.173730,12.309480
57,8.460210,2.783600,1.261420,12.505230
58,8.341600,3.022500,1.356140,12.720240
59,8.213010,3.285000,1.458480,12.956490
60,8.073750,3.572000,1.569040,13.214790
61,7.923150,3.884400,1.688410,13.495960
62,7.760570,4.222900,1.817140,13.800610
63,7.585400,4.588300,1.955770,14.129470
64,7.397050,4.981400,2.104810,14.483260
65,7.194780,5.404500,2.264770,14.864050
66,6.977820,5.860200,2.436160,15.274180
67,6.745460,6.350900,2.619450,15.715810
68,6.497070,6.878600,2.815070,16.190740
69,6.232050,7.445700,3.023380,16.701130
70,5.949880,8.054700,3.244640,17.249220
71,5.650070,8.708800,3.479040,17.837910
72,5.332360,9.410300,3.726590,18.469250
73,4.996610,10.162100,3.987160,19.145870
74,4.642990,10.966300,4.260360,19.869650
75,4.271540,11.828200,4.545620,20.645360
76,3.882490,12.753600,4.842140,21.478230
77,3.476190,13.749900,5.148810,22.374900
78,3.053180,14.825900,5.464210,23.343290
79,2.613950,15.994400,5.786600,24.394950
80,2.158580,17.274900,6.113920,25.547400
81,1.686660,18.695200,6.443800,26.825660
82,1.247970,19.784300,6.773580,27.805850
83,0.940300,19.593700,7.100310,27.634310
84,0.720470,18.586700,7.420850,26.728020
85,0.558750,17.093200,7.731920,25.383870
86,0.435700,15.340400,8.030250,23.806350
87,0.339230,13.481000,8.312660,22.132890
88,0.262110,11.616800,8.576200,20.455110
89,0.200010,9.816900,8.818290,18.835200
90,0.150200,8.129300,9.036870,17.316370
91,0.110700,6.587900,9.230510,15.929110
92,0.079890,5.215800,9.398530,14.694220
93,0.056340,4.026400,9.541020,13.623760
94,0.038740,3.023900,9.658880,12.721520
95,0.025900,2.204000,9.753720,11.983620
96,0.016970,1.552900,9.827760,11.397630
97,0.011790,1.045700,9.883670,10.941160
98,0.007550,0.681000,9.924390,10.612940
99,0.004740,0.424200,9.952890,10.381830
100,0.002800,0.252700,9.971980,10.227480
101,0.001590,0.142900,9.984170,10.128660
102,0.000850,0.076600,9.991550,10.069000
103,0.000430,0.038600,9.995770,10.034800
104,0.000200,0.018200,9.998040,10.016440
105,0.000090,0.008000,9.999170,10.007260
106,0.000040,0.003300,9.999700,10.003040
107,0.000010,0.001300,9.999930,10.001240
108,0.000010,0.000400,10.000020,10.000430
109,-0.000000,0.000200,10.000050,10.000250
110,0.000000,0.000000,10.000060,10.000060
