,0
0,17.400
1,17.110
2,17.149
3,18.500
4,21.701
5,26.403
6,31.842
7,36.633
8,36.596
9,36.155
10,35.516
11,34.760
12,33.919
13,33.044
14,32.175
15,31.366
16,30.643
17,30.052
18,29.607
19,29.360
20,29.337
21,29.544
22,30.029
23,30.774
24,31.768
25,32.918
26,34.168
27,35.510
28,36.860
29,38.275
30,39.751
31,41.314
32,42.994
33,44.801
34,46.696
35,48.713
36,50.783
37,52.925
38,55.141
39,57.420
40,59.786
41,62.296
42,64.928
43,67.721
44,70.676
45,73.824
46,77.155
47,80.672
48,84.369
49,88.218
50,92.183
51,96.211
52,100.262
53,104.296
54,108.289
55,112.220
56,116.058
57,119.746
58,123.231
59,126.461
60,129.375
61,131.884
62,133.917
63,135.362
64,136.151
65,136.199
66,135.410
67,133.684
68,130.929
69,127.076
70,122.054
71,115.956
72,109.215
73,102.221
74,94.912
75,87.263
76,79.309
77,71.136
78,62.864
79,54.648
80,46.655
81,39.053
82,31.997
83,25.617
84,20.009
85,15.216
86,11.219
87,8.072
88,5.667
89,3.908
90,2.674
91,1.848
92,1.322
93,1.002
94,0.813
95,0.706
96,0.644
97,0.603
98,0.573
99,0.548
100,
101,
102,
103,
104,
105,
106,
107,
108,
109,
110,
