Age,Male,Female
0,0.00573,0.00524
1,0.000968,0.000904
2,0.000752,0.000624
3,0.000584,0.00044
4,0.000472,0.000328
5,0.000392,0.00028
6,0.000352,0.000248
7,0.000328,0.000224
8,0.00032,0.000208
9,0.000312,0.000192
10,0.000296,0.000192
11,0.000288,0.000192
12,0.000304,0.000216
13,0.000376,0.000248
14,0.000528,0.000296
15,0.000752,0.000344
16,0.001016,0.000392
17,0.00126,0.000433
18,0.001288,0.000481
19,0.001305,0.000513
20,0.001313,0.00053
21,0.001315,0.000536
22,0.001312,0.000533
23,0.001307,0.000525
24,0.001301,0.000515
25,0.001298,0.000507
26,0.001299,0.000504
27,0.001307,0.00051
28,0.001323,0.000527
29,0.001351,0.000556
30,0.001393,0.000593
31,0.001452,0.000638
32,0.00153,0.000688
33,0.00163,0.000743
34,0.00175,0.000802
35,0.001886,0.000865
36,0.002037,0.000931
37,0.002201,0.001001
38,0.002374,0.001074
39,0.00256,0.001153
40,0.002761,0.00124
41,0.00298,0.001336
42,0.00322,0.001445
43,0.003484,0.001567
44,0.003771,0.001707
45,0.004084,0.001867
46,0.004421,0.002049
47,0.004784,0.002257
48,0.005175,0.002491
49,0.005597,0.002747
50,0.006056,0.003017
51,0.006558,0.003294
52,0.007108,0.003572
53,0.007713,0.003848
54,0.00838,0.00414
55,0.009118,0.004469
56,0.009935,0.004858
57,0.010839,0.005327
58,0.01184,0.005895
59,0.012944,0.006554
60,0.014158,0.007293
61,0.015488,0.008101
62,0.016942,0.008966
63,0.018528,0.009882
64,0.020261,0.010867
65,0.022157,0.011942
66,0.024233,0.01313
67,0.026505,0.014453
68,0.028992,0.015934
69,0.031715,0.017588
70,0.034698,0.019431
71,0.037963,0.021478
72,0.041535,0.023745
73,0.045436,0.026248
74,0.049701,0.029016
75,0.054363,0.032079
76,0.059457,0.035466
77,0.065016,0.039208
78,0.071077,0.043337
79,0.077686,0.047896
80,0.084889,0.052932
81,0.092734,0.058489
82,0.101268,0.064614
83,0.110542,0.071356
84,0.120611,0.078778
85,0.131536,0.086946
86,0.143375,0.095925
87,0.156188,0.105783
88,0.170033,0.116587
89,0.18497,0.128419
90,0.201055,0.141361
91,0.218348,0.155497
92,0.236907,0.170909
93,0.256783,0.187681
94,0.278003,0.205885
95,0.300589,0.225596
96,0.324559,0.246887
97,0.349936,0.26983
98,0.376717,0.29448
99,0.404815,0.320809
100,0.434119,0.348771
101,0.46452,0.378319
102,0.495908,0.409406
103,0.528175,0.441987
104,0.561225,0.47603
105,0.594967,0.511501
106,0.629307,0.548371
107,0.664152,0.586607
108,0.698078,0.624558
109,0.731384,0.662588
110,1,1
