Age,Male,Female
0,0.01719,0.01572
1,0.002904,0.002712
2,0.002256,0.001872
3,0.001752,0.00132
4,0.001416,0.000984
5,0.001176,0.00084
6,0.001056,0.000744
7,0.000984,0.000672
8,0.00096,0.000624
9,0.000936,0.000576
10,0.000888,0.000576
11,0.000864,0.000576
12,0.000912,0.000648
13,0.001128,0.000744
14,0.001584,0.000888
15,0.002256,0.001032
16,0.003048,0.001176
17,0.00378,0.001299
18,0.003864,0.001443
19,0.003915,0.001539
20,0.003939,0.00159
21,0.003945,0.001608
22,0.003936,0.001599
23,0.003921,0.001575
24,0.003903,0.001545
25,0.003894,0.001521
26,0.003897,0.001512
27,0.003921,0.00153
28,0.003969,0.001581
29,0.004053,0.001668
30,0.004179,0.001779
31,0.004356,0.001914
32,0.00459,0.002064
33,0.00489,0.002229
34,0.00525,0.002406
35,0.005658,0.002595
36,0.006111,0.002793
37,0.006603,0.003003
38,0.007122,0.003222
39,0.00768,0.003459
40,0.008283,0.00372
41,0.00894,0.004008
42,0.00966,0.004335
43,0.010452,0.004701
44,0.011313,0.005121
45,0.012252,0.005601
46,0.013263,0.006147
47,0.014352,0.006771
48,0.015525,0.007473
49,0.016791,0.008241
50,0.018168,0.009051
51,0.019674,0.009882
52,0.021324,0.010716
53,0.023139,0.011544
54,0.02514,0.01242
55,0.027354,0.013407
56,0.029805,0.014574
57,0.032517,0.015981
58,0.03552,0.017685
59,0.038832,0.019662
60,0.042474,0.021879
61,0.046464,0.024303
62,0.050826,0.026898
63,0.055584,0.029646
64,0.060783,0.032601
65,0.066471,0.035826
66,0.072699,0.03939
67,0.079515,0.043359
68,0.086976,0.047802
69,0.095145,0.052764
70,0.104094,0.058293
71,0.113889,0.064434
72,0.124605,0.071235
73,0.136308,0.078744
74,0.149103,0.087048
75,0.163089,0.096237
76,0.178371,0.106398
77,0.195048,0.117624
78,0.213231,0.130011
79,0.233058,0.143688
80,0.254667,0.158796
81,0.278202,0.175467
82,0.303804,0.193842
83,0.331626,0.214068
84,0.361833,0.236334
85,0.394608,0.260838
86,0.430125,0.287775
87,0.468564,0.317349
88,0.510099,0.349761
89,0.55491,0.385257
90,0.603165,0.424083
91,0.655044,0.466491
92,0.710721,0.512727
93,0.770349,0.563043
94,0.834009,0.617655
95,0.895,0.676788
96,0.896,0.740661
97,0.897,0.800994
98,0.898,0.800996
99,0.899,0.800998
100,0.9,0.801
101,0.901,0.801002
102,0.902,0.801004
103,0.903,0.801006
104,0.904,0.801008
105,0.905,0.80101
106,0.906,0.801012
107,0.907,0.801014
108,0.908,0.801016
109,0.909,0.801018
110,0.91,0.80102
