Age,H->D,H->S,S->H,S->D,D->H,D->S,Total
20,13.130000,19.695000,0.000000,0.000000,0.000000,0.000000,32.825000
21,13.080936,19.621404,0.777440,0.103596,0.000000,0.000000,33.583377
22,13.033445,19.550168,0.783760,0.104196,0.000000,0.000000,33.471569
23,12.966855,19.450282,0.781041,0.103434,0.000000,0.000000,33.301612
24,12.890656,19.335983,0.777077,0.102430,0.000000,0.000000,33.106147
25,12.844435,19.266652,0.772499,0.101589,0.000000,0.000000,32.985175
26,12.837764,19.256647,0.769679,0.101297,0.000000,0.000000,32.965388
27,12.900010,19.350014,0.769196,0.101865,0.000000,0.000000,33.121085
28,13.040544,19.560816,0.772807,0.103613,0.000000,0.000000,33.477781
29,13.298266,19.947400,0.781061,0.106966,0.000000,0.000000,34.133694
30,13.691987,20.537981,0.796274,0.112488,0.000000,0.000000,35.138730
31,14.250193,21.375289,0.819568,0.120755,0.000000,0.000000,36.565804
32,14.991185,22.486777,0.852632,0.132480,0.000000,0.000000,38.463072
33,15.942747,23.914121,0.896539,0.148557,0.000000,0.000000,40.901964
34,17.083295,25.624942,0.952961,0.169739,0.000000,0.000000,43.830936
35,18.371898,27.557848,1.020655,0.196196,0.000000,0.000000,47.146596
36,19.797079,29.695618,1.097158,0.228138,0.000000,0.000000,50.817993
37,21.337401,32.006102,1.181761,0.265959,0.000000,0.000000,54.791224
38,22.952190,34.428284,1.273219,0.309612,0.000000,0.000000,58.963306
39,24.678407,37.017611,1.369029,0.359679,0.000000,0.000000,63.424726
40,26.532494,39.798741,1.471300,0.417760,0.000000,0.000000,68.220294
41,28.539983,42.809975,1.580988,0.485605,0.000000,0.000000,73.416551
42,30.725450,46.088174,1.699557,0.565465,0.000000,0.000000,79.078646
43,33.112428,49.668642,1.828417,0.660016,0.000000,0.000000,85.269502
44,35.685396,53.528095,1.968987,0.771602,0.000000,0.000000,91.954080
45,38.466461,57.699692,2.120288,0.902796,0.000000,0.000000,99.189237
46,41.429052,62.143578,2.283611,1.056283,0.000000,0.000000,106.912524
47,44.584167,66.876251,2.457343,1.234659,0.000000,0.000000,115.152420
48,47.941011,71.911516,2.641985,1.441843,0.000000,0.000000,123.936354
49,51.516459,77.274689,2.837968,1.682585,0.000000,0.000000,133.311702
50,55.352635,83.028952,3.046059,1.963610,0.000000,0.000000,143.391255
51,59.487773,89.231659,3.268492,2.293912,0.000000,0.000000,154.281836
52,63.947101,95.920652,3.507340,2.683781,0.000000,0.000000,166.058875
53,68.769692,103.154538,3.763802,3.145644,0.000000,0.000000,178.833676
54,73.988588,110.982881,4.039791,3.694985,0.000000,0.000000,192.706244
55,79.647757,119.471635,4.336765,4.350985,0.000000,0.000000,207.807142
56,85.773519,128.660279,4.656769,5.136846,0.000000,0.000000,224.227414
57,92.383115,138.574673,5.000797,6.079300,0.000000,0.000000,242.037885
58,99.500060,149.250090,5.369053,7.210707,0.000000,0.000000,261.329910
59,107.100905,160.651357,5.762208,8.567591,0.000000,0.000000,282.082061
60,115.159480,172.739220,6.178167,10.189707,0.000000,0.000000,304.266574
61,123.627553,185.441330,6.614452,12.121904,0.000000,0.000000,327.805240
62,132.458711,198.688067,7.067093,14.415312,0.000000,0.000000,352.629183
63,141.588811,212.383216,7.532006,17.128952,0.000000,0.000000,378.632984
64,150.987569,226.481353,8.003351,20.335833,0.000000,0.000000,405.808106
65,160.601590,240.902385,8.476697,24.127819,0.000000,0.000000,434.108491
66,170.352512,255.528768,8.946264,28.613355,0.000000,0.000000,463.440899
67,180.119421,270.179131,9.404679,33.916733,0.000000,0.000000,493.619965
68,189.765204,284.647806,9.841475,40.181959,0.000000,0.000000,524.436444
