Age,H,S,D,Total
20,10.000000,0.000000,0.000000,10.000000
21,9.947480,0.393900,0.013130,10.354510
22,9.934028,0.397090,0.026263,10.357381
23,9.921083,0.395692,0.039348,10.356123
24,9.908267,0.393660,0.052367,10.354294
25,9.895558,0.391329,0.065309,10.352196
26,9.882806,0.389905,0.078204,10.350914
27,9.869939,0.389691,0.091092,10.350722
28,9.856798,0.391584,0.104043,10.352426
29,9.843276,0.395879,0.117136,10.356291
30,9.829136,0.403761,0.130487,10.363385
31,9.814182,0.415822,0.144236,10.374239
32,9.798160,0.432940,0.158546,10.389646
33,9.780827,0.455697,0.173604,10.410127
34,9.761883,0.484968,0.189621,10.436471
35,9.741197,0.520137,0.206789,10.468123
36,9.718743,0.559986,0.225259,10.503987
37,9.694412,0.604179,0.245170,10.543761
38,9.668151,0.652090,0.266640,10.586881
39,9.640003,0.702498,0.289747,10.632248
40,9.609741,0.756538,0.314606,10.680884
41,9.577176,0.814774,0.341347,10.733297
42,9.542065,0.878052,0.370130,10.790247
43,9.504141,0.947209,0.401138,10.852488
44,9.463112,1.023074,0.434580,10.920766
45,9.418820,1.105284,0.470652,10.994756
46,9.370969,1.194620,0.509569,11.075158
47,9.319433,1.290404,0.551527,11.161364
48,9.263963,1.393085,0.596728,11.253776
49,9.204299,1.503113,0.645390,11.352802
50,9.140131,1.621210,0.697748,11.459089
51,9.071024,1.748941,0.754082,11.574047
52,8.996497,1.887859,0.814717,11.699073
53,8.916076,2.039183,0.880006,11.835265
54,8.829187,2.204645,0.950348,11.984180
55,8.735222,2.385932,1.026185,12.147339
56,8.633469,2.585227,1.108008,12.326704
57,8.523214,2.804364,1.196350,12.523927
58,8.403721,3.045062,1.291773,12.740556
59,8.274174,3.309484,1.394878,12.978535
60,8.133881,3.598569,1.506263,13.238712
61,7.982151,3.913321,1.626517,13.521989
62,7.818363,4.254312,1.756205,13.828881
63,7.641883,4.622450,1.895872,14.160205
64,7.452128,5.018467,2.046025,14.516620
65,7.248345,5.444740,2.207181,14.900266
66,7.029774,5.903800,2.379846,15.313420
67,6.795677,6.398176,2.564505,15.758359
68,6.545433,6.929836,2.761583,16.236852
69,6.278446,7.501144,2.971439,16.751030
70,5.994178,8.114717,3.194350,17.303245
71,5.692142,8.773660,3.430493,17.896294
72,5.372070,9.480393,3.679891,18.532354
73,5.033825,10.237781,3.942396,19.214003
74,4.677572,11.047981,4.217630,19.943183
75,4.303355,11.916262,4.505019,20.724636
76,3.911404,12.848531,4.803743,21.563678
77,3.502081,13.852226,5.112697,22.467004
78,3.075922,14.936285,5.430450,23.442657
79,2.633415,16.113456,5.755240,24.502110
80,2.174653,17.403493,6.084998,25.663144
81,1.699220,18.834409,6.417339,26.950968
82,1.257262,19.931643,6.749573,27.938479
83,0.947297,19.739655,7.078737,27.765689
84,0.725829,18.725112,7.401660,26.852601
85,0.562908,17.220436,7.715048,25.498392
86,0.438942,15.454566,8.015601,23.909110
87,0.341754,13.581310,8.300115,22.223179
88,0.264056,11.703279,8.565616,20.532951
89,0.201496,9.889953,8.809509,18.900958
90,0.151313,8.189734,9.029714,17.370760
91,0.111521,6.636838,9.224795,15.973154
92,0.080488,5.254528,9.394059,14.729075
93,0.056761,4.056285,9.537611,13.650656
94,0.039023,3.046326,9.656345,12.741693
95,0.026092,2.220259,9.751882,11.998233
96,0.017099,1.564373,9.826463,11.407936
97,0.011872,1.053414,9.882786,10.948072
98,0.007602,0.685940,9.923804,10.617346
99,0.004771,0.427211,9.952508,10.384489
100,0.002823,0.254438,9.971734,10.228995
101,0.001601,0.143942,9.984005,10.129548
102,0.000854,0.077111,9.991435,10.069400
103,0.000431,0.038864,9.995682,10.034978
104,0.000203,0.018345,9.997963,10.016510
105,0.000089,0.008047,9.999106,10.007242
106,0.000036,0.003261,9.999638,10.002935
107,0.000013,0.001208,9.999866,10.001087
108,0.000004,0.000406,9.999955,10.000366
109,0.000001,0.000122,9.999986,10.000110
110,0.000000,0.000033,9.999996,10.000030
