Age,S->H,D->H,D->S,H->S,H->D,S->D
20,0.0000000000,0.0000000000,0.0000000000,0.0039390000,0.0013130000,0.0000000000
21,0.0038872022,0.0000000000,0.0000000000,0.0039242809,0.0013080936,0.0000051798
22,0.0039188007,0.0000000000,0.0000000000,0.0039100335,0.0013033445,0.0000052098
23,0.0039052049,0.0000000000,0.0000000000,0.0038900564,0.0012966855,0.0000051717
24,0.0038853865,0.0000000000,0.0000000000,0.0038671967,0.0012890656,0.0000051215
25,0.0038624958,0.0000000000,0.0000000000,0.0038533304,0.0012844435,0.0000050795
26,0.0038483969,0.0000000000,0.0000000000,0.0038513293,0.0012837764,0.0000050649
27,0.0038459804,0.0000000000,0.0000000000,0.0038700029,0.0012900010,0.0000050933
28,0.0038640357,0.0000000000,0.0000000000,0.0039121632,0.0013040544,0.0000051807
29,0.0039053059,0.0000000000,0.0000000000,0.0039894799,0.0013298266,0.0000053483
30,0.0039813709,0.0000000000,0.0000000000,0.0041075961,0.0013691987,0.0000056244
31,0.0040978384,0.0000000000,0.0000000000,0.0042750578,0.0014250193,0.0000060377
32,0.0042631576,0.0000000000,0.0000000000,0.0044973554,0.0014991185,0.0000066240
33,0.0044826925,0.0000000000,0.0000000000,0.0047828242,0.0015942747,0.0000074279
34,0.0047648057,0.0000000000,0.0000000000,0.0051249884,0.0017083295,0.0000084869
35,0.0051032729,0.0000000000,0.0000000000,0.0055115695,0.0018371898,0.0000098098
36,0.0054857885,0.0000000000,0.0000000000,0.0059391236,0.0019797079,0.0000114069
37,0.0059088061,0.0000000000,0.0000000000,0.0064012204,0.0021337401,0.0000132980
38,0.0063660959,0.0000000000,0.0000000000,0.0068856569,0.0022952190,0.0000154806
39,0.0068451429,0.0000000000,0.0000000000,0.0074035222,0.0024678407,0.0000179840
40,0.0073564977,0.0000000000,0.0000000000,0.0079597482,0.0026532494,0.0000208880
41,0.0079049376,0.0000000000,0.0000000000,0.0085619950,0.0028539983,0.0000242803
42,0.0084977848,0.0000000000,0.0000000000,0.0092176349,0.0030725450,0.0000282733
43,0.0091420865,0.0000000000,0.0000000000,0.0099337283,0.0033112428,0.0000330008
44,0.0098449343,0.0000000000,0.0000000000,0.0107056189,0.0035685396,0.0000385801
45,0.0106014419,0.0000000000,0.0000000000,0.0115399383,0.0038466461,0.0000451398
46,0.0114180551,0.0000000000,0.0000000000,0.0124287157,0.0041429052,0.0000528141
47,0.0122867135,0.0000000000,0.0000000000,0.0133752502,0.0044584167,0.0000617329
48,0.0132099253,0.0000000000,0.0000000000,0.0143823032,0.0047941011,0.0000720921
49,0.0141898399,0.0000000000,0.0000000000,0.0154549378,0.0051516459,0.0000841292
50,0.0152302962,0.0000000000,0.0000000000,0.0166057904,0.0055352635,0.0000981805
51,0.0163424589,0.0000000000,0.0000000000,0.0178463319,0.0059487773,0.0001146956
52,0.0175367018,0.0000000000,0.0000000000,0.0191841304,0.0063947101,0.0001341890
53,0.0188190098,0.0000000000,0.0000000000,0.0206309076,0.0068769692,0.0001572822
54,0.0201989551,0.0000000000,0.0000000000,0.0221965763,0.0073988588,0.0001847492
55,0.0216838266,0.0000000000,0.0000000000,0.0238943270,0.0079647757,0.0002175493
56,0.0232838474,0.0000000000,0.0000000000,0.0257320558,0.0085773519,0.0002568423
57,0.0250039868,0.0000000000,0.0000000000,0.0277149346,0.0092383115,0.0003039650
58,0.0268452661,0.0000000000,0.0000000000,0.0298500181,0.0099500060,0.0003605353
59,0.0288110405,0.0000000000,0.0000000000,0.0321302714,0.0107100905,0.0004283796
60,0.0308908338,0.0000000000,0.0000000000,0.0345478441,0.0115159480,0.0005094854
61,0.0330722604,0.0000000000,0.0000000000,0.0370882660,0.0123627553,0.0006060952
62,0.0353354669,0.0000000000,0.0000000000,0.0397376134,0.0132458711,0.0007207656
63,0.0376600276,0.0000000000,0.0000000000,0.0424766432,0.0141588811,0.0008564476
64,0.0400167553,0.0000000000,0.0000000000,0.0452962707,0.0150987569,0.0010167916
65,0.0423834860,0.0000000000,0.0000000000,0.0481804770,0.0160601590,0.0012063909
66,0.0447313180,0.0000000000,0.0000000000,0.0511057536,0.0170352512,0.0014306677
67,0.0470233969,0.0000000000,0.0000000000,0.0540358263,0.0180119421,0.0016958366
68,0.0492073766,0.0000000000,0.0000000000,0.0569295612,0.0189765204,0.0020090979
69,0.0512215636,0.0000000000,0.0000000000,0.0597362775,0.0199120925,0.0023789879
70,0.0529907240,0.0000000000,0.0000000000,0.0623957991,0.0207985997,0.0028156445
71,0.0544291540,0.0000000000,0.0000000000,0.0648272304,0.0216090768,0.0033307445
72,0.0554271183,0.0000000000,0.0000000000,0.0669386779,0.0223128926,0.0039376813
73,0.0558614279,0.0000000000,0.0000000000,0.0686150679,0.0228716893,0.0046516381
74,0.0555702403,0.0000000000,0.0000000000,0.0697440041,0.0232480014,0.0054909571
75,0.0543822440,0.0000000000,0.0000000000,0.0701829783,0.0233943261,0.0064780374
76,0.0520918012,0.0000000000,0.0000000000,0.0697681025,0.0232560342,0.0076393514
77,0.0484606291,0.0000000000,0.0000000000,0.0683073806,0.0227691269,0.0090061636
78,0.0432002179,0.0000000000,0.0000000000,0.0655881873,0.0218627291,0.0106162635
79,0.0359555654,0.0000000000,0.0000000000,0.0613738381,0.0204579460,0.0125178993
80,0.0262984186,0.0000000000,0.0000000000,0.0553812251,0.0184604084,0.0147736513
81,0.0188344087,0.0000000000,0.0000000000,0.0472726525,0.0157575508,0.0174659006
82,0.0199316430,0.0000000000,0.0000000000,0.0381961375,0.0127320458,0.0201843763
83,0.0197396549,0.0000000000,0.0000000000,0.0314148345,0.0104716115,0.0218206093
84,0.0187251119,0.0000000000,0.0000000000,0.0262628950,0.0087542983,0.0225845447
85,0.0172204357,0.0000000000,0.0000000000,0.0222128145,0.0074042715,0.0226510723
86,0.0154545664,0.0000000000,0.0000000000,0.0188799869,0.0062933290,0.0221579845
87,0.0135813100,0.0000000000,0.0000000000,0.0160133794,0.0053377931,0.0212123764
88,0.0117032793,0.0000000000,0.0000000000,0.0134694570,0.0044898190,0.0198994368
89,0.0098899534,0.0000000000,0.0000000000,0.0111812021,0.0037270674,0.0182934467
