Age,H,S,D
10,1.000000,0.000000,0.000000
11,0.998816,0.000888,0.000296
12,0.998551,0.000865,0.000584
13,0.998199,0.000913,0.000888
14,0.997607,0.001129,0.001264
15,0.996623,0.001586,0.001791
16,0.995199,0.002259,0.002542
17,0.993391,0.003054,0.003555
18,0.991400,0.003790,0.004811
19,0.990033,0.003875,0.006093
20,0.988689,0.003921,0.007390
21,0.987366,0.003941,0.008693
22,0.986062,0.003942,0.009997
23,0.984777,0.003928,0.011296
24,0.983505,0.003908,0.012588
25,0.982244,0.003884,0.013873
26,0.980978,0.003870,0.015153
27,0.979701,0.003868,0.016432
28,0.978397,0.003887,0.017718
29,0.977055,0.003930,0.019018
30,0.975652,0.004008,0.020343
31,0.974168,0.004127,0.021708
32,0.972577,0.004297,0.023128
33,0.970856,0.004523,0.024623
34,0.968975,0.004814,0.026213
35,0.966922,0.005163,0.027917
36,0.964693,0.005558,0.029750
37,0.962277,0.005997,0.031726
38,0.959670,0.006473,0.033857
39,0.956876,0.006973,0.036151
40,0.953872,0.007509,0.038618
41,0.950639,0.008088,0.041272
42,0.947154,0.008716,0.044129
43,0.943390,0.009402,0.047207
44,0.939317,0.010155,0.050527
45,0.934920,0.010971,0.054107
46,0.930170,0.011858,0.057970
47,0.925055,0.012809,0.062135
48,0.919549,0.013828,0.066622
49,0.913627,0.014920,0.071452
50,0.907258,0.016092,0.076649
51,0.900398,0.017360,0.082241
52,0.893000,0.018739,0.088260
53,0.885017,0.020241,0.094741
54,0.876392,0.021883,0.101723
55,0.867065,0.023683,0.109251
56,0.856965,0.025661,0.117373
57,0.846021,0.027836,0.126142
58,0.834160,0.030225,0.135614
59,0.821301,0.032850,0.145848
60,0.807375,0.035720,0.156904
61,0.792315,0.038844,0.168841
62,0.776057,0.042229,0.181714
63,0.758540,0.045883,0.195577
64,0.739705,0.049814,0.210481
65,0.719478,0.054045,0.226477
66,0.697782,0.058602,0.243616
67,0.674546,0.063509,0.261945
68,0.649707,0.068786,0.281507
69,0.623205,0.074457,0.302338
70,0.594988,0.080547,0.324464
71,0.565007,0.087088,0.347904
72,0.533236,0.094103,0.372659
73,0.499661,0.101621,0.398716
74,0.464299,0.109663,0.426036
75,0.427154,0.118282,0.454562
76,0.388249,0.127536,0.484214
77,0.347619,0.137499,0.514881
78,0.305318,0.148259,0.546421
79,0.261395,0.159944,0.578660
80,0.215858,0.172749,0.611392
