Age,S->H,D->H,D->S,H->S,H->D,S->D
10,0.000000,0.000000,0.000000,0.000888,0.000296,0.000000
11,0.000885,0.000000,0.000000,0.000863,0.000288,0.000000
12,0.000862,0.000000,0.000000,0.000911,0.000304,0.000000
13,0.000910,0.000000,0.000000,0.001126,0.000375,0.000000
14,0.001123,0.000000,0.000000,0.001580,0.000527,0.000001
15,0.001574,0.000000,0.000000,0.002248,0.000749,0.000001
16,0.002236,0.000000,0.000000,0.003033,0.001011,0.000002
17,0.003016,0.000000,0.000000,0.003755,0.001252,0.000004
18,0.003741,0.000000,0.000000,0.003831,0.001277,0.000005
19,0.003824,0.000000,0.000000,0.003876,0.001292,0.000005
20,0.003870,0.000000,0.000000,0.003894,0.001298,0.000005
21,0.003889,0.000000,0.000000,0.003895,0.001298,0.000005
22,0.003890,0.000000,0.000000,0.003881,0.001294,0.000005
23,0.003877,0.000000,0.000000,0.003861,0.001287,0.000005
24,0.003857,0.000000,0.000000,0.003839,0.001280,0.000005
25,0.003834,0.000000,0.000000,0.003825,0.001275,0.000005
26,0.003820,0.000000,0.000000,0.003823,0.001274,0.000005
27,0.003817,0.000000,0.000000,0.003841,0.001280,0.000005
28,0.003836,0.000000,0.000000,0.003883,0.001294,0.000005
29,0.003877,0.000000,0.000000,0.003960,0.001320,0.000005
30,0.003952,0.000000,0.000000,0.004077,0.001359,0.000006
31,0.004067,0.000000,0.000000,0.004243,0.001414,0.000006
32,0.004231,0.000000,0.000000,0.004464,0.001488,0.000007
33,0.004449,0.000000,0.000000,0.004747,0.001582,0.000007
34,0.004730,0.000000,0.000000,0.005087,0.001696,0.000008
35,0.005066,0.000000,0.000000,0.005471,0.001824,0.000010
36,0.005445,0.000000,0.000000,0.005895,0.001965,0.000011
37,0.005865,0.000000,0.000000,0.006354,0.002118,0.000013
38,0.006319,0.000000,0.000000,0.006835,0.002278,0.000015
39,0.006794,0.000000,0.000000,0.007349,0.002450,0.000018
40,0.007302,0.000000,0.000000,0.007901,0.002634,0.000021
41,0.007847,0.000000,0.000000,0.008499,0.002833,0.000024
42,0.008435,0.000000,0.000000,0.009150,0.003050,0.000028
43,0.009074,0.000000,0.000000,0.009860,0.003287,0.000033
44,0.009772,0.000000,0.000000,0.010626,0.003542,0.000038
45,0.010523,0.000000,0.000000,0.011455,0.003818,0.000045
46,0.011334,0.000000,0.000000,0.012337,0.004112,0.000052
47,0.012196,0.000000,0.000000,0.013276,0.004425,0.000061
48,0.013112,0.000000,0.000000,0.014276,0.004759,0.000072
49,0.014085,0.000000,0.000000,0.015341,0.005114,0.000084
50,0.015117,0.000000,0.000000,0.016483,0.005494,0.000097
51,0.016222,0.000000,0.000000,0.017714,0.005905,0.000114
52,0.017407,0.000000,0.000000,0.019042,0.006347,0.000133
53,0.018680,0.000000,0.000000,0.020478,0.006826,0.000156
54,0.020049,0.000000,0.000000,0.022032,0.007344,0.000183
55,0.021524,0.000000,0.000000,0.023718,0.007906,0.000216
56,0.023112,0.000000,0.000000,0.025542,0.008514,0.000255
57,0.024819,0.000000,0.000000,0.027510,0.009170,0.000302
58,0.026646,0.000000,0.000000,0.029629,0.009876,0.000358
59,0.028598,0.000000,0.000000,0.031893,0.010631,0.000425
60,0.030663,0.000000,0.000000,0.034292,0.011431,0.000506
61,0.032828,0.000000,0.000000,0.036814,0.012271,0.000602
62,0.035075,0.000000,0.000000,0.039444,0.013148,0.000715
63,0.037382,0.000000,0.000000,0.042163,0.014054,0.000850
64,0.039721,0.000000,0.000000,0.044961,0.014987,0.001009
65,0.042070,0.000000,0.000000,0.047824,0.015941,0.001197
66,0.044401,0.000000,0.000000,0.050728,0.016909,0.001420
67,0.046676,0.000000,0.000000,0.053637,0.017879,0.001683
68,0.048844,0.000000,0.000000,0.056509,0.018836,0.001994
69,0.050843,0.000000,0.000000,0.059295,0.019765,0.002361
70,0.052599,0.000000,0.000000,0.061935,0.020645,0.002795
71,0.054027,0.000000,0.000000,0.064348,0.021449,0.003306
72,0.055017,0.000000,0.000000,0.066444,0.022148,0.003909
73,0.055448,0.000000,0.000000,0.068108,0.022703,0.004617
74,0.055159,0.000000,0.000000,0.069228,0.023076,0.005450
75,0.053980,0.000000,0.000000,0.069664,0.023221,0.006430
76,0.051707,0.000000,0.000000,0.069252,0.023084,0.007583
77,0.048103,0.000000,0.000000,0.067802,0.022601,0.008940
78,0.042881,0.000000,0.000000,0.065103,0.021701,0.010538
79,0.035690,0.000000,0.000000,0.060920,0.020307,0.012425
80,0.026104,0.000000,0.000000,0.054972,0.018324,0.014664
81,0.018695,0.000000,0.000000,0.046923,0.015641,0.017337
82,0.019784,0.000000,0.000000,0.037914,0.012638,0.020035
83,0.019594,0.000000,0.000000,0.031183,0.010394,0.021659
